"","Entity","CUI","Freq","Tid","Tname"
"3653","additional mental health problems","C1446377",3,"T033","Finding"
"3655","intellectual and developmental disabilities","C4237164",3,"T048","Mental or Behavioral Dysfunction"
"3656","mild behavioral problems","C0233514",3,"T048","Mental or Behavioral Dysfunction"
"3657","larger changes in scores","C3257946",3,"T033","Finding"
"3660","main block effect","C0264915",3,"T047","Disease or Syndrome"
"3662","adverse events","C1519255",3,"T033","Finding"
"3672","frontal theta activity","C0429286",2,"T033","Finding"
"3674","dysfunction in the mns","C0025237",2,"T047","Disease or Syndrome"
"3675","altered immunological","C0184547",2,"T033","Finding"
"3677","childhood disorders","C0679381",2,"T047","Disease or Syndrome"
"3678","characteristic symptoms","C0233849",2,"T033","Finding"
"3679","conduct disorder (cd)","C0018777",2,"T047","Disease or Syndrome"
"3680","mecp2 in cortical neurons","C1833299",2,"T033","Finding"
"3681","neurobehavioral comorbidities","C0872354",2,"T033","Finding"
"3682","reducing dental caries","C0011334",2,"T047","Disease or Syndrome"
"3685","significant group x condition interaction","C1319490",2,"T033","Finding"
"3686","underlying abnormality","C0749769",2,"T047","Disease or Syndrome"
"3689","neurobehavioral disturbances","C0872354",2,"T033","Finding"
"3691","significant group × frame × stage interaction","C1319490",2,"T033","Finding"
"3694","conduct disorders","C0149654",2,"T048","Mental or Behavioral Dysfunction"
"3696","childhood adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"3698","difficulties in understanding","C0564406",2,"T033","Finding"
"3701","changes in ups function","C4061913",2,"T033","Finding"
"3702","specific neurodevelopmental disorders","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"3703","changes in urinary metabolites","C2045681",2,"T184","Sign or Symptom"
"3704","speech and language impairments","C0454644",2,"T033","Finding"
"3706","speech and language disorders","C0023009",2,"T047","Disease or Syndrome"
"3708","underestimation of early developmentally atypical behaviours","C2062758",2,"T048","Mental or Behavioral Dysfunction"
"3712","speech abnormalities","C0233715",2,"T033","Finding"
"3713","cytokine imbalance","C1397014",2,"T184","Sign or Symptom"
"3720","spectrum of symptoms","C3166145",2,"T184","Sign or Symptom"
"3725","underlying adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"3730","adhd-type behaviours","C2945552",2,"T048","Mental or Behavioral Dysfunction"
"3733","impulsive acting-out behavior","C0859370",2,"T055","Individual Behavior"
"3738","impulsive aggression","C0858853",2,"T048","Mental or Behavioral Dysfunction"
"3740","dynamic interaction","C0679968",2,"T054","Social Behavior"
"3745","child anxiety symptoms","C0860603",2,"T184","Sign or Symptom"
"3746","specific psychiatric diseases","C0004936",2,"T048","Mental or Behavioral Dysfunction"
"3747","specific repetitive behavior","C1827547",2,"T033","Finding"
"3750","neurocognitive disorders","C4041080",2,"T048","Mental or Behavioral Dysfunction"
"3751","neurocognitive dysfunction","C0338656",2,"T048","Mental or Behavioral Dysfunction"
"3752","variations in disease prevalence","C1868151",2,"T033","Finding"
"3756","open field activity","C0237760",2,"T055","Individual Behavior"
"3760","in stressful situations","C0037219",2,"T184","Sign or Symptom"
"3764","child's problems","C0030540",2,"T033","Finding"
"3766","in difficulty","C0517892",2,"T033","Finding"
"3767","dysexecutive syndrome","C3840049",2,"T048","Mental or Behavioral Dysfunction"
"3769","consistent disorder-specific functional connectivity alterations","C0332532",2,"T033","Finding"
"3774","adult adhd self","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"3776","hr-atyp (high familial risk","C0332167",2,"T033","Finding"
"3779","dysfunctional mns","C0025237",2,"T047","Disease or Syndrome"
"3782","inattentive subtype of adhd","C0339002",2,"T048","Mental or Behavioral Dysfunction"
"3787","frequency scores","C3533161",2,"T033","Finding"
"3789","inattentive, hyperactive","C0236941",2,"T048","Mental or Behavioral Dysfunction"
"3791","inattentive t-scores","C4065796",2,"T033","Finding"
"3795","inattentive subtype)","C0424101",2,"T048","Mental or Behavioral Dysfunction"
"3799","significant familiality","C0455342",2,"T033","Finding"
"3800","oppositional behavior","C2013199",2,"T184","Sign or Symptom"
"3801","nr age plasma yes","C1298907",2,"T033","Finding"
"3803","inattentive and hyperactive/impulsive symptoms","C2231354",2,"T048","Mental or Behavioral Dysfunction"
"3804","nr adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"3810","reduced self-grooming","C1998993",2,"T033","Finding"
"3812","spontaneous motor stereotypies","C3898226",2,"T033","Finding"
"3813","speech impairment","C0233715",2,"T033","Finding"
"3815","oppositional defiant disorders","C0029121",2,"T048","Mental or Behavioral Dysfunction"
"3817","spq smell","C0481703",2,"T033","Finding"
"3819","dysregulation of proliferation","C0813142",2,"T047","Disease or Syndrome"
"3820","incidence of discomfort","C2364135",2,"T184","Sign or Symptom"
"3821","spouses’ emotion dysregulation","C1656928",2,"T184","Sign or Symptom"
"3823","changes in brain growth","C1399608",2,"T048","Mental or Behavioral Dysfunction"
"3824","oppositional defiant disorder (odd","C0029121",2,"T048","Mental or Behavioral Dysfunction"
"3827","irritability changes","C3843046",2,"T033","Finding"
"3828","high social anxiety","C0424166",2,"T048","Mental or Behavioral Dysfunction"
"3833","positive behavioural changes","C0542299",2,"T055","Individual Behavior"
"3835","changes in cortical thickness","C1866082",2,"T033","Finding"
"3836","perceptive deficit","C0454625",2,"T048","Mental or Behavioral Dysfunction"
"3839","high spai participants","C1319066",2,"T033","Finding"
"3840","oppositional behaviour","C0231519",2,"T033","Finding"
"3841","nervous system dysfunction","C4016022",2,"T033","Finding"
"3849","inappropriate response","C0574121",2,"T033","Finding"
"3850","adhd-p = adhd persisters","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"3852","inappropriate or odd behaviour","C0233522",2,"T048","Mental or Behavioral Dysfunction"
"3854","high trait levels","C1847758",2,"T033","Finding"
"3855","opposite effect","C0231519",2,"T033","Finding"
"3856","difficulties in social situations","C4061788",2,"T033","Finding"
"3859","speech sound disorders","C4019167",2,"T048","Mental or Behavioral Dysfunction"
"3862","speech production deficits","C3810226",2,"T033","Finding"
"3863","abnormal presentation","C1386874",2,"T033","Finding"
"3877","difficulties in social cognition","C0871381",2,"T054","Social Behavior"
"3878","inappropriate speech subscales","C1168248",2,"T047","Disease or Syndrome"
"3883","accelerated growth","C0151685",2,"T033","Finding"
"3885","inattention symptom","C4068325",2,"T033","Finding"
"3886","reduced sensory","C1838401",2,"T033","Finding"
"3888","inattention severity","C0424101",2,"T048","Mental or Behavioral Dysfunction"
"3889","significant functional impairment","C4061376",2,"T033","Finding"
"3890","difficulties in sharing imaginative play","C2372114",2,"T056","Daily or Recreational Activity"
"3901","changes in sensory processing","C1409715",2,"T184","Sign or Symptom"
"3904","inappropriate verbal behaviors","C4062224",2,"T033","Finding"
"3906","underlying dysfunction","C0749769",2,"T047","Disease or Syndrome"
"3908","measures of symptom severity","C1319166",2,"T033","Finding"
"3909","higher anxiety symptoms","C0860603",2,"T184","Sign or Symptom"
"3912","neurological impairment","C0521654",2,"T033","Finding"
"3914","underlying symptoms","C2017773",2,"T033","Finding"
"3917","impairment in attention disengagement","C0238707",2,"T048","Mental or Behavioral Dysfunction"
"3922","peripheral tissues","C0517204",2,"T033","Finding"
"3926","difficulties with intimacy","C0237208",2,"T033","Finding"
"3931","cu traits interaction","C0678981",2,"T054","Social Behavior"
"3935","chronic conditions","C0399432",2,"T047","Disease or Syndrome"
"3937","sadness expression","C1718318",2,"T033","Finding"
"3956","impairment in motor inhibition","C0556280",2,"T033","Finding"
"3959","peripheral nervous system","C0031117",2,"T047","Disease or Syndrome"
"3960","significant interactions","C4061196",2,"T033","Finding"
"3968","poor memory","C0233794",2,"T048","Mental or Behavioral Dysfunction"
"3970","neurological symptoms","C0497297",2,"T184","Sign or Symptom"
"3973","rigid patterns","C0026837",2,"T184","Sign or Symptom"
"3976","chronic sleep disorders","C0041232",2,"T047","Disease or Syndrome"
"3979","difficulties with peer relationships","C2371563",2,"T054","Social Behavior"
"3982","old dizygotic (dz) twins","C0220761",2,"T033","Finding"
"3983","regression components","C0684321",2,"T041","Mental Process"
"3984","hyper- or hypo","C4021573",2,"T047","Disease or Syndrome"
"3985","olanzapine-induced priapism","C2903057",2,"T047","Disease or Syndrome"
"3995","sound changes","C4062654",2,"T033","Finding"
"4001","chronic pain","C0150055",2,"T184","Sign or Symptom"
"4003","discrepancy in findings","C1290905",2,"T033","Finding"
"4004","neurological/psychiatric problems","C1306597",2,"T048","Mental or Behavioral Dysfunction"
"4010","dry scaly skin","C1969290",2,"T033","Finding"
"4011","poor image quality","C1882425",2,"T033","Finding"
"4017","chronic f exposure","C0683018",2,"T048","Mental or Behavioral Dysfunction"
"4019","poor hearing and vision","C1955603",2,"T047","Disease or Syndrome"
"4022","chronic hypertension","C0745114",2,"T033","Finding"
"4024","impaired synaptic development","C0235909",2,"T048","Mental or Behavioral Dysfunction"
"4026","impaired speech","C0233715",2,"T033","Finding"
"4028","altered behaviour","C0542299",2,"T055","Individual Behavior"
"4029","large adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4030","altered behaviors","C0542299",2,"T055","Individual Behavior"
"4032","altered development","C0150037",2,"T033","Finding"
"4036","neurodevelopmental disease","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"4038","high-level features","C0151714",2,"T047","Disease or Syndrome"
"4040","specific language disorder","C0454651",2,"T047","Disease or Syndrome"
"4041","dynamic and static conditions","C2200072",2,"T033","Finding"
"4042","lower symptoms","C0422828",2,"T033","Finding"
"4043","current problems","C2984777",2,"T033","Finding"
"4044","poor sleep in adults","C0235162",2,"T184","Sign or Symptom"
"4045","poor sleep","C0235162",2,"T184","Sign or Symptom"
"4046","dyadic interactions","C0596467",2,"T054","Social Behavior"
"4048","current physical and mental disorders","C0556006",2,"T048","Mental or Behavioral Dysfunction"
"4049","significant interaction effect between respondent","C1319490",2,"T033","Finding"
"4050","lower symptom severity","C1319166",2,"T033","Finding"
"4052","neurodevelopmental symptoms","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"4056","poor self‐esteem","C2945580",2,"T033","Finding"
"4058","frontotemporal dementia","C0338451",2,"T047","Disease or Syndrome"
"4060","lower symptom scores","C3476546",2,"T033","Finding"
"4061","gentle shaking","C4068807",2,"T033","Finding"
"4062","child’s behaviors","C0008065",2,"T055","Individual Behavior"
"4063","specific learning difficulties","C0338982",2,"T048","Mental or Behavioral Dysfunction"
"4064","current psychotic disorder","C0033975",2,"T048","Mental or Behavioral Dysfunction"
"4065","specific learning disability","C4025790",2,"T048","Mental or Behavioral Dysfunction"
"4066","children’s behavioral problems","C0474413",2,"T048","Mental or Behavioral Dysfunction"
"4067","childhood psychiatric disorders","C0178546",2,"T048","Mental or Behavioral Dysfunction"
"4068","adult adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4070","childhood schizophrenia","C0036346",2,"T048","Mental or Behavioral Dysfunction"
"4072","high severity","C3842380",2,"T033","Finding"
"4073","childhood trauma","C1387422",2,"T033","Finding"
"4076","current symptoms","C2367024",2,"T033","Finding"
"4077","poor speech coherence","C4047969",2,"T033","Finding"
"4083","implicit learning deficit","C1510548",2,"T041","Mental Process"
"4085","neurodevelopmental brain disorders","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"4086","specific medical disorders","C0029741",2,"T047","Disease or Syndrome"
"4087","least one disruptive disorder","C3842867",2,"T033","Finding"
"4088","neurodevelopmental condition","C3839254",2,"T033","Finding"
"4089","children’s academic performance","C4061949",2,"T033","Finding"
"4093","specific learning disorders","C4042933",2,"T048","Mental or Behavioral Dysfunction"
"4096","widespread language impairments","C0023015",2,"T048","Mental or Behavioral Dysfunction"
"4098","poor physical health","C0683321",2,"T033","Finding"
"4101","adhd = attention-deficit/hyperactivity disorder","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4103","cholesterol metabolic abnormalities","C4025656",2,"T033","Finding"
"4105","specific conditions","C0155965",2,"T047","Disease or Syndrome"
"4106","specific condition","C0155965",2,"T047","Disease or Syndrome"
"4107","impairment of outer hair cell function","C1836753",2,"T033","Finding"
"4108","full mutation","C3258472",2,"T033","Finding"
"4111","specific cognitive impairment","C0338656",2,"T048","Mental or Behavioral Dysfunction"
"4116","specific cognitive abilities","C0851855",2,"T048","Mental or Behavioral Dysfunction"
"4118","neurologic disorders","C0027765",2,"T047","Disease or Syndrome"
"4119","neurologic or psychiatric disorder","C2015805",2,"T048","Mental or Behavioral Dysfunction"
"4120","neurologic symptoms","C0235031",2,"T184","Sign or Symptom"
"4121","significant interaction effect between condition","C1319490",2,"T033","Finding"
"4123","difficulties with emotional regulation","C0563718",2,"T033","Finding"
"4124","difficulties with emotional wellbeing","C0563718",2,"T033","Finding"
"4127","current distress","C0231303",2,"T033","Finding"
"4128","abnormal sensory sensitivity","C0012766",2,"T184","Sign or Symptom"
"4129","underlying mechanisms","C0749769",2,"T047","Disease or Syndrome"
"4130","altered eeg responses","C3552821",2,"T033","Finding"
"4134","duplication syndromes","C0265428",2,"T047","Disease or Syndrome"
"4137","duplication syndrome id","C0265428",2,"T047","Disease or Syndrome"
"4140","reduction in purkinje cell number","C1855067",2,"T033","Finding"
"4141","specific disease","C0564687",2,"T047","Disease or Syndrome"
"4143","one-second delay","C3551266",2,"T033","Finding"
"4144","poor quality of life","C3686815",2,"T033","Finding"
"4145","poor quality friendships","C0178647",2,"T054","Social Behavior"
"4146","child’s symptoms","C2073777",2,"T184","Sign or Symptom"
"4147","right ai","C0003504",2,"T047","Disease or Syndrome"
"4153","low rbs","C0392475",2,"T047","Disease or Syndrome"
"4157","oppositional disorders","C0679491",2,"T048","Mental or Behavioral Dysfunction"
"4161","stereotyped, repetitive behaviors","C0038271",2,"T055","Individual Behavior"
"4163","stereotyped view”","C0038272",2,"T041","Mental Process"
"4169","focal malformations of cortical development","C1955869",2,"T047","Disease or Syndrome"
"4170","schizophrenia symptoms","C2678117",2,"T033","Finding"
"4171","vocal prosody","C0233743",2,"T033","Finding"
"4172","stereotyped repetitive behaviours","C0038271",2,"T055","Individual Behavior"
"4173","stereotyped patterns of behaviors","C0038271",2,"T055","Individual Behavior"
"4177","schizophrenia studies","C0036341",2,"T048","Mental or Behavioral Dysfunction"
"4181","high paranoia","C1456784",2,"T048","Mental or Behavioral Dysfunction"
"4186","eccentric behavior, and odd speech","C2165326",2,"T033","Finding"
"4188","schizophrenia-like phenotypes","C1408863",2,"T048","Mental or Behavioral Dysfunction"
"4189","focal inflammation in the amygdala","C0522570",2,"T033","Finding"
"4192","significant difference between males","C0428676",2,"T033","Finding"
"4194","vocal behaviors","C2754830",2,"T055","Individual Behavior"
"4198","abnormal idiosyncratic","C0001950",2,"T048","Mental or Behavioral Dysfunction"
"4199","large individual differences","C0021228",2,"T054","Social Behavior"
"4200","low level of intelligence","C0423903",2,"T033","Finding"
"4201","ambiguous situations","C1522512",2,"T048","Mental or Behavioral Dysfunction"
"4202","increased adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4204","peer relationship problems","C2169948",2,"T184","Sign or Symptom"
"4205","stereotypical behavioral patterns","C0038271",2,"T055","Individual Behavior"
"4208","stereotypical behavior patterns of any new atypical subject","C0038271",2,"T055","Individual Behavior"
"4212","genetic and/or environmental factors","C1516998",2,"T033","Finding"
"4214","lack of understanding","C4081879",2,"T033","Finding"
"4216","stereotypic behaviours","C0038271",2,"T055","Individual Behavior"
"4219","stereotypic behaviors","C0038271",2,"T055","Individual Behavior"
"4220","major metabolic abnormalities","C4021768",2,"T033","Finding"
"4221","stereotyped interests","C0038272",2,"T041","Mental Process"
"4223","large head size","C4083076",2,"T033","Finding"
"4225","early symptoms","C0343666",2,"T047","Disease or Syndrome"
"4226","cellular and behavioural deficits","C0562445",2,"T033","Finding"
"4227","schizophrenia diagnosis","C0036341",2,"T048","Mental or Behavioral Dysfunction"
"4229","medication effect","C1319171",2,"T033","Finding"
"4231","status epilepticus","C0038220",2,"T047","Disease or Syndrome"
"4234","cellular debris","C4055264",2,"T033","Finding"
"4235","umbilical hernia","C0019322",2,"T047","Disease or Syndrome"
"4240","post-operative/procedural pain","C0030201",2,"T184","Sign or Symptom"
"4246","statistically significantly elevated in the first and second trimesters","C0233093",2,"T047","Disease or Syndrome"
"4252","medication effects","C1319171",2,"T033","Finding"
"4253","foot shaking","C0040822",2,"T184","Sign or Symptom"
"4259","cell dysfunction","C0398732",2,"T047","Disease or Syndrome"
"4264","decrease in nk cell function","C2749596",2,"T033","Finding"
"4268","easily distressed","C0332219",2,"T033","Finding"
"4269","easily confused","C0009676",2,"T048","Mental or Behavioral Dysfunction"
"4281","early-onset neurodevelopmental disorders","C1970828",2,"T033","Finding"
"4283","phelan–mcdermid syndrome (pms","C1853490",2,"T047","Disease or Syndrome"
"4285","reduced distress","C0231303",2,"T033","Finding"
"4287","memory issues","C0033213",2,"T033","Finding"
"4289","lower d scores","C0578778",2,"T033","Finding"
"4290","increased cell density","C0029053",2,"T033","Finding"
"4293","typicality scores diagnosis","C1998435",2,"T184","Sign or Symptom"
"4296","carnitine deficiency","C1142132",2,"T033","Finding"
"4301","acceleration sensor yes","C1298907",2,"T033","Finding"
"4311","other disorder","C3842526",2,"T033","Finding"
"4313","amelioration of symptoms","C1864616",2,"T033","Finding"
"4315","high levels of gaming behavior","C4272516",2,"T033","Finding"
"4318","strange stories","C0235129",2,"T184","Sign or Symptom"
"4319","flashing lights","C0085635",2,"T047","Disease or Syndrome"
"4322","other medical condition","C3843040",2,"T033","Finding"
"4323","worsened ja responses","C3873565",2,"T033","Finding"
"4325","significant comorbidities","C0009488",2,"T033","Finding"
"4332","increased cognitive demands","C0342970",2,"T047","Disease or Syndrome"
"4333","weak effect","C3698284",2,"T184","Sign or Symptom"
"4335","reduced brain activation of the left frontotemporal area","C4230400",2,"T033","Finding"
"4336","reduced brain size","C3276282",2,"T033","Finding"
"4338","strategic or organizational memory processes","C0679052",2,"T041","Mental Process"
"4340","typical traits","C0233855",2,"T048","Mental or Behavioral Dysfunction"
"4350","schizotypal disorder","C1443045",2,"T048","Mental or Behavioral Dysfunction"
"4351","decreased alpha power","C0232831",2,"T033","Finding"
"4353","other brain regions","C3279537",2,"T033","Finding"
"4356","decreased activity of c1","C0948080",2,"T033","Finding"
"4359","different symptoms","C0149996",2,"T184","Sign or Symptom"
"4364","other disorder","C0154725",2,"T047","Disease or Syndrome"
"4365","eeg changes","C1837400",2,"T033","Finding"
"4367","schizophrenic disorders","C0036341",2,"T048","Mental or Behavioral Dysfunction"
"4372","worldwide population prevalence","C1850668",2,"T033","Finding"
"4374","decreased ability","C0020620",2,"T047","Disease or Syndrome"
"4375","significant difference between gain","C3897172",2,"T033","Finding"
"4381","abnormal gait","C0575081",2,"T033","Finding"
"4383","high levels of stress","C1319127",2,"T033","Finding"
"4384","memory deficit","C0233794",2,"T048","Mental or Behavioral Dysfunction"
"4388","decreased b cells","C1837337",2,"T033","Finding"
"4390","disability discrimination act","C0870423",2,"T054","Social Behavior"
"4392","reduced cognitive function","C0392335",2,"T041","Mental Process"
"4399","high loading on inattention","C3808257",2,"T033","Finding"
"4400","decreased attention","C3899405",2,"T184","Sign or Symptom"
"4402","pediatric obesity","C2362324",2,"T047","Disease or Syndrome"
"4403","significant developmental changes","C3553876",2,"T033","Finding"
"4405","adult-onset disorders","C2921027",2,"T048","Mental or Behavioral Dysfunction"
"4408","significant developmental delay","C3553876",2,"T033","Finding"
"4409","major neurodevelopmental disorders","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"4410","low levels of cholesterol","C0856966",2,"T033","Finding"
"4412","change in brain activation","C0680102",2,"T054","Social Behavior"
"4415","significant effect of emotion","C3161724",2,"T033","Finding"
"4420","high risk of disorder","C0332167",2,"T033","Finding"
"4423","congenital adrenal hyperplasia","C0001627",2,"T047","Disease or Syndrome"
"4424","change in attitude","C3826692",2,"T048","Mental or Behavioral Dysfunction"
"4425","dawson et","C0038522",2,"T047","Disease or Syndrome"
"4428","reduced pe amplitude","C0429347",2,"T033","Finding"
"4435","low mean scores","C3533236",2,"T033","Finding"
"4438","human srs","C0175693",2,"T047","Disease or Syndrome"
"4439","negative symptoms","C0871099",2,"T184","Sign or Symptom"
"4440","mediator mi","C0027051",2,"T047","Disease or Syndrome"
"4441","challenging behaviour","C0474414",2,"T033","Finding"
"4444","early alterations in e/i coordination","C0437354",2,"T033","Finding"
"4445","significant distress","C0231303",2,"T033","Finding"
"4447","early awakenings","C0541798",2,"T048","Mental or Behavioral Dysfunction"
"4463","early abnormal visual experience","C0596475",2,"T041","Mental Process"
"4464","high risk","C0332167",2,"T033","Finding"
"4468","abnormal movements","C0558189",2,"T033","Finding"
"4471","medical comorbidity","C0009488",2,"T033","Finding"
"4473","change in face preference","C1718229",2,"T033","Finding"
"4474","positive facial expression","C0015457",2,"T033","Finding"
"4477","mediated social behavior deficits","C0562445",2,"T033","Finding"
"4481","low nk cell activity","C4015071",2,"T033","Finding"
"4485","inclusion of the main effects","C0392644",2,"T047","Disease or Syndrome"
"4487","neonatal hypotonia","C2267233",2,"T047","Disease or Syndrome"
"4488","nr nr","C3844738",2,"T033","Finding"
"4489","neonatal infection","C0854706",2,"T047","Disease or Syndrome"
"4492","positive deflection","C0549397",2,"T033","Finding"
"4494","irrelevant response","C0233654",2,"T048","Mental or Behavioral Dysfunction"
"4500","human-animal interaction","C0237405",2,"T054","Social Behavior"
"4501","functional outcome in high-functioning adults","C4034568",2,"T033","Finding"
"4502","adhd-combined type","C2945552",2,"T048","Mental or Behavioral Dysfunction"
"4503","large ears","C0554972",2,"T033","Finding"
"4504","irreversible damage","C0399406",2,"T047","Disease or Syndrome"
"4505","dark stimulus conditions","C0234404",2,"T041","Mental Process"
"4507","srs subscales","C0175693",2,"T047","Disease or Syndrome"
"4518","optic nerve hypoplasia","C0338502",2,"T047","Disease or Syndrome"
"4522","major psychiatric disorder","C0748057",2,"T048","Mental or Behavioral Dysfunction"
"4523","change in rsa","C2045667",2,"T184","Sign or Symptom"
"4524","srs-2 raw scores","C0175693",2,"T047","Disease or Syndrome"
"4526","adhd-200 global competition","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4527","adhd-200 global competition divided the adhd","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4529","change in srs","C0175693",2,"T047","Disease or Syndrome"
"4531","change in symptoms","C0240735",2,"T048","Mental or Behavioral Dysfunction"
"4534","optic nerve atrophy","C0029124",2,"T047","Disease or Syndrome"
"4539","major neurological disorders","C0027765",2,"T047","Disease or Syndrome"
"4540","schizoid personality disorder symptoms","C0036339",2,"T048","Mental or Behavioral Dysfunction"
"4541","perceived distress frequency","C0030971",2,"T041","Mental Process"
"4542","increase in symptoms","C4062507",2,"T033","Finding"
"4543","cerebellar abnormalities","C1866129",2,"T033","Finding"
"4546","early motor deficits","C0521654",2,"T033","Finding"
"4549","altered socialization","C1998998",2,"T033","Finding"
"4552","perceived frequency of distress","C0030971",2,"T041","Mental Process"
"4553","four disorders","C0265496",2,"T047","Disease or Syndrome"
"4558","cerebellar tonsillar herniation","C3278025",2,"T033","Finding"
"4560","reduced intelligence","C0858604",2,"T048","Mental or Behavioral Dysfunction"
"4561","significant differences in effect","C0566127",2,"T033","Finding"
"4565","altered social behavior","C1998998",2,"T033","Finding"
"4566","decay of cortical thickness","C1866082",2,"T033","Finding"
"4578","increase lactate","C0312417",2,"T033","Finding"
"4581","central auditory processing disorders","C0751257",2,"T047","Disease or Syndrome"
"4584","medical or surgical illness","C2020635",2,"T033","Finding"
"4589","adhd tendencies","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4591","formed based on scores in the top","C2126175",2,"T184","Sign or Symptom"
"4596","high psychopathic tendencies","C0003431",2,"T048","Mental or Behavioral Dysfunction"
"4601","lack of specificity","C1402282",2,"T048","Mental or Behavioral Dysfunction"
"4602","rightward cues","C1690585",2,"T033","Finding"
"4603","significant differences in the turning of the head","C2165327",2,"T033","Finding"
"4604","fragile x and down syndromes","C0016667",2,"T047","Disease or Syndrome"
"4606","difficulties in attention switching","C0566195",2,"T033","Finding"
"4610","certain limitations","C0582108",2,"T033","Finding"
"4612","adhd vragenlijst","C1263846",2,"T048","Mental or Behavioral Dysfunction"
"4613","certain metabolic diseases","C0348110",2,"T047","Disease or Syndrome"
"4616","certain neurological disorders","C0027765",2,"T047","Disease or Syndrome"
"4618","significant difficulties","C4064081",2,"T033","Finding"
"4620","significant difficulty","C4064081",2,"T033","Finding"
"4623","active inference","C0679201",2,"T041","Mental Process"
"4624","reduced neural sensitivity","C1866558",2,"T047","Disease or Syndrome"
"4626","fragile x syndrome groups","C0016667",2,"T047","Disease or Syndrome"
"4627","learning deficit","C0023185",2,"T041","Mental Process"
"4628","active bullying","C0424318",2,"T048","Mental or Behavioral Dysfunction"
"4630","nd krumm et al","C0028684",2,"T033","Finding"
"4637","debilitating mental health problem","C1446377",2,"T033","Finding"
"4640","debilitating disorder","C0742985",2,"T033","Finding"
"4646","significant differences in symptom scores","C4068323",2,"T033","Finding"
"4648","positive slow wave","C0858603",2,"T033","Finding"
"4655","vascular dementia","C0011269",2,"T047","Disease or Syndrome"
"4662","sound change","C4062654",2,"T033","Finding"
"4663","complex syndrome","C0458219",2,"T047","Disease or Syndrome"
"4664","language-related executive functions","C0935584",2,"T041","Mental Process"
"4665","obsessive-compulsive behavior","C0600104",2,"T048","Mental or Behavioral Dysfunction"
"4667","aggressive outbursts","C0554985",2,"T048","Mental or Behavioral Dysfunction"
"4668","hypothetical listener","C2584303",2,"T041","Mental Process"
"4669","hypothetical listener","C2182628",2,"T033","Finding"
"4670","personality factors","C0233849",2,"T033","Finding"
"4673","response inhibition deficits","C1510574",2,"T041","Mental Process"
"4674","obsessive-compulsive behaviors","C0600104",2,"T048","Mental or Behavioral Dysfunction"
"4677","significant variability","C3549643",2,"T033","Finding"
"4679","common neurodevelopmental disorder","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"4681","common neurodevelopmental disorders","C1535926",2,"T048","Mental or Behavioral Dysfunction"
"4685","nominally significant associations","C1719401",2,"T184","Sign or Symptom"
"4687","nominally significant transmission disequilibrium","C0281825",2,"T033","Finding"
"4690","significant view×presentation condition interaction","C1319490",2,"T033","Finding"
"4691","aggressive or self-harming behaviors","C1319130",2,"T033","Finding"
"4698","obsessive-compulsive traits","C1834433",2,"T033","Finding"
"4699","simp seckel syndrome","C0265202",2,"T047","Disease or Syndrome"
"4701","significant symptoms","C2013964",2,"T184","Sign or Symptom"
"4702","maternal deletion","C0422663",2,"T033","Finding"
"4703","hyperactive/impulsive symptoms","C2231354",2,"T048","Mental or Behavioral Dysfunction"
"4704","obsessive-compulsive symptoms","C4087290",2,"T048","Mental or Behavioral Dysfunction"
"4706","obsessive-compulsive spectrum disorders","C0028768",2,"T048","Mental or Behavioral Dysfunction"
"4707","hypoxic-ischemic encephalopathy","C0752304",2,"T047","Disease or Syndrome"
"4708","hypoxic-ischemic damage","C0752304",2,"T047","Disease or Syndrome"
"4709","obsessive-compulsive disorders","C0028768",2,"T048","Mental or Behavioral Dysfunction"
"4710","hypoxic-ischemic brain damage","C0752304",2,"T047","Disease or Syndrome"
"4711","obsessive-compulsive disorder (ocd)","C0028768",2,"T048","Mental or Behavioral Dysfunction"
"4716","pitch discrimination","C0031996",2,"T041","Mental Process"
"4718","disease process","C0027721",2,"T047","Disease or Syndrome"
"4719","slow waves","C0858603",2,"T033","Finding"
"4721","hypotonic complications","C1391079",2,"T047","Disease or Syndrome"
"4725","significant view×presentation condition×group interaction","C1319490",2,"T033","Finding"
"4726","personality trait","C1404990",2,"T033","Finding"
"4730","restricted and repetitive behavior)","C1827547",2,"T033","Finding"
"4731","ac = allergic conjunctivitis","C0009766",2,"T047","Disease or Syndrome"
"4733","aggressive and antisocial behavior","C0233523",2,"T048","Mental or Behavioral Dysfunction"
